Phase One,,,,,,,,,,,
Characters,Iron Man 2008,The Incredible Hulk 2008 ,Iron Man 2 ,Thor 2011 ,Captain America: The First Avenger,Marvels Avengers,,,,,
Introduced in Iron Man,,,,,,,,,,,
Phil Coulson,Clark Gregg,,Clark Gregg,Clark Gregg,,Clark Gregg,,,,,
Christine Everhart,Leslie Bibb,,Leslie Bibb,,,,,,,,
Nick Fury ,Samuel L. Jackson,,Samuel L. Jackson,Samuel L. Jackson,,Samuel L. Jackson,,,,,
"Harold""Happy"" Hogan",Jon Favreau,,Jon Favreau,,,,,,,,
Jarvis,Paul Bettany,,Paul Bettany,,,Paul Bettany ,,,,,
"Virginia ""Pepper"" Potts ",Gwyneth Paltrow,,Gwyneth Paltrow,,,Gwyneth Paltrow,,,,,
Raza,Faran Tahir,,,,,,,,,,
"James ""Rhodey"" Rhodes ",Terrence Howard,,Don Cheadle,,,,,,,,
William Ginter Riva ,Peter Billingsley,,,,,,,,,,
Obadiah Stane,Jeff Bridges,,,,,,,,,,
Howard Stark,Gerard Sanders ,,John Slattery ,,,,,,,,
"Tony Stark ""Iron Man""",Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,,,Robert Downey Jr.,,,,,
Ho Yinsen ,Shaun Toub,,,,,,,,,,
Introduced in the Incredible Hulk ,,,,,,,,,,,
"Bruce Banner ""Hulk"" ",,Edward Norton,,,,Mark Ruffalo,,,,,
"Emil Blonsky ""Abomination""",,Tim Roth,,,,,,,,,
Roger Harrington ,,Martin Starr ,,,,,,,,,
Betty Ross ,,Liv Tyler ,,,,,,,,,
Thaddeus Ross,,Willliam Hurt,,,,,,,,,
Leonard Samson ,,Ty Burrell,,,,,,,,,
Samuel Sterns ,,Tim Blake Nelson ,,,,,,,,,
Introduced in Iron Man 2 ,,,,,,,,,,,
Justin Hammer ,,,Sam Rockwell ,,,,,,,,
Chess Roberts ,,,Olivia. Munn,,,,,,,,
Natasha Romanoff Black Widow ,,,Scarlett Johansson ,,,Scarlett Johansson ,,,,,
Stern ,,,Garry Shandling ,,,,,,,,
Anton Vanko,,,Yevgeni Lazarev,,,,,,,,
"Ivan Vanko ""Whiplash""",,,Mickey Rourke,,,,,,,,
Introduced in Thor ,,,,,,,,,,,
"Clint Barton ""Hawkeye""",,,,Jeremy Renner,,Jeremy Renner ,,,,,
Fandral ,,,,Josh Dallas,,,,,,,
