Show ID,Show Name,Total Episode Count,Character ID,Character Name
7623,The Amazing Spider-Man,14,196352,Peter Parker / Spider-Man
7623,The Amazing Spider-Man,14,365202,Captain Barbera
7623,The Amazing Spider-Man,14,365203,J. Jonah Jameson
7623,The Amazing Spider-Man,14,365204,Rita Conway
7623,The Amazing Spider-Man,14,365205,Aunt May
7623,The Amazing Spider-Man,14,365206,Julie Masters
2151,The Incredible Hulk,249,132893,Bruce Banner / Hulk
2151,The Incredible Hulk,249,132892,Bruce Banner / Hulk
2151,The Incredible Hulk,249,132894,Jack McGee
1611,Spider-Man,260,100500,Peter Parker / Spider-Man
8331,Blade,12,202575,Noah van Helsing
8331,Blade,12,202576,Deacon Frost
8331,Blade,12,202577,Blade
31,Marvel's Agents of S.H.I.E.L.D.,136,6063,Agent Jemma Simmons
31,Marvel's Agents of S.H.I.E.L.D.,136,181391,"Daisy ""Skye"" Johnson / Quake"
31,Marvel's Agents of S.H.I.E.L.D.,136,6059,Agent Melinda May
31,Marvel's Agents of S.H.I.E.L.D.,136,6058,Agent Phil Coulson
31,Marvel's Agents of S.H.I.E.L.D.,136,6062,Agent Leo Fitz
31,Marvel's Agents of S.H.I.E.L.D.,136,6225,"Alphonso ""Mack"" Mackenzie"
31,Marvel's Agents of S.H.I.E.L.D.,136,268027,"Elena ""Yo-Yo"" Rodriguez"
31,Marvel's Agents of S.H.I.E.L.D.,136,6060,Grant Ward
31,Marvel's Agents of S.H.I.E.L.D.,136,478310,Deke Shaw
31,Marvel's Agents of S.H.I.E.L.D.,136,124823,Lance Hunter
31,Marvel's Agents of S.H.I.E.L.D.,136,6249,Bobbi Morse / Mockingbird
31,Marvel's Agents of S.H.I.E.L.D.,136,104065,Lincoln Campbell
31,Marvel's Agents of S.H.I.E.L.D.,136,270067,Holden Radcliffe
31,Marvel's Agents of S.H.I.E.L.D.,136,614696,Sarge
336,Marvel's Agent Carter,18,66891,Agent Peggy Carter
336,Marvel's Agent Carter,18,66895,Daniel Sousa
336,Marvel's Agent Carter,18,102436,Edwin Jarvis
336,Marvel's Agent Carter,18,66893,Agent Jack Thompson
336,Marvel's Agent Carter,18,66892,SSR Chief Roger Dooley
1369,Marvel's Daredevil,39,93847,Matt Murdock / Daredevil
1369,Marvel's Daredevil,39,93851,Karen Page
1369,Marvel's Daredevil,39,93852,"Franklin ""Foggy"" Nelson"
1369,Marvel's Daredevil,39,93856,Wilson Fisk / The Kingpin
1369,Marvel's Daredevil,39,566031,"Rahul ""Ray"" Nadeem"
1369,Marvel's Daredevil,39,160173,Frank Castle / The Punisher
1369,Marvel's Daredevil,39,260670,Blake Tower
1369,Marvel's Daredevil,39,93849,Vanessa Marianna
1369,Marvel's Daredevil,39,566034,"Benjamin ""Dex"" Poindexter"
1369,Marvel's Daredevil,39,93855,James Wesley
1369,Marvel's Daredevil,39,160172,Elektra Natchios
1369,Marvel's Daredevil,39,93850,Leland Owlsley
1369,Marvel's Daredevil,39,93858,Ben Urich
1369,Marvel's Daredevil,39,566030,Sister Maggie Grace
1369,Marvel's Daredevil,39,93854,Claire Temple
1370,Marvel's Jessica Jones,39,93859,Jessica Campbell Jones
1370,Marvel's Jessica Jones,39,135015,"Patricia ""Trish"" Walker / Patsy"
1370,Marvel's Jessica Jones,39,206937,Malcolm Ducasse
1370,Marvel's Jessica Jones,39,135013,"Jeryn ""Jeri"" Hogarth"
1370,Marvel's Jessica Jones,39,135016,Kilgrave / Kevin Thompson
1370,Marvel's Jessica Jones,39,513299,Oscar Arocho
1370,Marvel's Jessica Jones,39,513301,Alisa Jones
1370,Marvel's Jessica Jones,39,206573,Will Simpson
1370,Marvel's Jessica Jones,39,634104,Erik Gelden
1370,Marvel's Jessica Jones,39,634106,Zaya Okonjo
1370,Marvel's Jessica Jones,39,634131,Gregory Sallinger
1370,Marvel's Jessica Jones,39,175107,Luke Cage
1370,Marvel's Jessica Jones,39,445387,Inez Green
1370,Marvel's Jessica Jones,39,135014,Hope Shlottmann
1370,Marvel's Jessica Jones,39,634105,Kith Lyonne
1370,Marvel's Jessica Jones,39,513300,Pryce Cheng
2174,Marvel's Luke Cage,26,135024,Luke Cage
2174,Marvel's Luke Cage,26,166616,"Mercedes ""Misty"" Knight"
2174,Marvel's Luke Cage,26,170649,Mariah Dillard
2174,Marvel's Luke Cage,26,170651,"Hernan ""Shades"" Alvarez"
2174,Marvel's Luke Cage,26,166615,Claire Temple
2174,Marvel's Luke Cage,26,538340,"John ""Bushmaster"" McIver"
2174,Marvel's Luke Cage,26,538357,"Matilda ""Tilda"" Maybelline Johnson"
2174,Marvel's Luke Cage,26,331685,"William ""Diamondback"" Stryker"
2174,Marvel's Luke Cage,26,190946,"Cornell ""Cottonmouth"" Stokes"
2174,Marvel's Luke Cage,26,336632,Blake Tower
2174,Marvel's Luke Cage,26,538440,Colleen Wing
2174,Marvel's Luke Cage,26,538450,Daniel Rand / Iron Fist
6393,Legion,27,240948,David Haller
6393,Legion,27,240951,"Sydney ""Syd"" Barrett"
6393,Legion,27,249937,Kerry Loudermilk
6393,Legion,27,378208,Cary Loudermilk
6393,Legion,27,240949,Lenny Busker
6393,Legion,27,240950,Melanie Bird
6393,Legion,27,295996,Ptonomy Wallace / Mainframe
6393,Legion,27,379904,Clark DeBussy
6393,Legion,27,521288,Amahl Farouk / The Shadow King
6393,Legion,27,295997,Amy Haller
6393,Legion,27,388134,Oliver Bird
6393,Legion,27,637699,Jia-yi / Switch
2175,Marvel's Iron Fist,23,250546,Daniel Rand / Iron Fist
2175,Marvel's Iron Fist,23,266324,Colleen Wing
2175,Marvel's Iron Fist,23,273276,Joy Meachum
2175,Marvel's Iron Fist,23,273277,Ward Meachum
2175,Marvel's Iron Fist,23,395297,Davos / Steel Serpent
2175,Marvel's Iron Fist,23,270132,Harold Meachum
2175,Marvel's Iron Fist,23,555877,Mary Walker
2175,Marvel's Iron Fist,23,394980,Claire Temple
2175,Marvel's Iron Fist,23,555968,"Mercedes ""Misty"" Knight"
2175,Marvel's Iron Fist,23,395199,Bakuto
17184,The Defenders,132,581423,Lawrence Preston
17184,The Defenders,132,581424,Kenneth Preston
25948,The Gifted,29,391743,Caitlin Strucker
25948,The Gifted,29,391745,Reed Strucker
25948,The Gifted,29,391746,Clarice Ferguson / Blink
25948,The Gifted,29,391747,Marcos Diaz / Eclipse
25948,The Gifted,29,391749,Lauren Strucker
25948,The Gifted,29,391750,Lorna Dane / Polaris
25948,The Gifted,29,391751,John Proudstar / Thunderbird
25948,The Gifted,29,391752,Andy Strucker
25948,The Gifted,29,391748,Jace Turner
25948,The Gifted,29,475354,Esmé Frost
25948,The Gifted,29,486696,Phoebe Frost
25948,The Gifted,29,486697,Sophie Frost
25948,The Gifted,29,552784,Reeva Payge
51751,The Devil Punisher,20,801601,Zhong Kui
51751,The Devil Punisher,20,801602,Meng Po
51751,The Devil Punisher,20,801603,Lu Bo Ya
20172,Marvel's Runaways,33,377175,Nico Minoru
20172,Marvel's Runaways,33,377176,Karolina Dean
20172,Marvel's Runaways,33,377177,"Gertrude ""Gert"" Yorkes"
20172,Marvel's Runaways,33,377178,Chase Stein
20172,Marvel's Runaways,33,377179,Molly Hernandez
20172,Marvel's Runaways,33,377174,Alex Wilder
20172,Marvel's Runaways,33,388807,Stacey Yorkes
20172,Marvel's Runaways,33,388804,Tina Minoru
